MARN,Full_name,Experience_years,Education,Age,Work_experience,Charge,Visa type,Booking preference,Location,Success rate,Language,Employment Type,Google rating,Availability
2217852,Igor Perminov,3,Doctorate,25-32,3 -  5 years,101– 200 AUD,191,Online,QLD, 51 %- 80 %,Dari,Independent,2.7,4- 6 month
849992,Ijaz Ahmad,17,Master,33-39,> 5 years,101– 200 AUD,573,Online,QLD,>81%,Persian,Organized,4.8,4- 6 month
2318037,Ikram Ahmed Khan,2,Master,25-32,> 5 years,500+ AUD,651,Both,NSW,>81%,Arabic,Organized,4.6,1 month
1688115,Ila Gandhi,9,Doctorate,45+,3 -  5 years,101– 200 AUD,651,Both,NT,31%-50%,Ilokano,Independent,2.5,2 - 3 month
1465541,Ilya Eli Bekker,11,Master,25-32,> 5 years,201 – 500 AUD,837,Both,VIC,31%-50%,Indonesian,Independent,2.7,1 month
1800866,Iman Jabakhanji,7,Master,25-32,> 5 years,201 – 500 AUD,445,Online,NSW,31%-50%,Bulgarian,Organized,3.6,2 - 3 month
1575000,Iman Khalid,10,Bachelor ,18-24,> 5 years,0 ~ 100 AUD,837,Both,NSW,>81%,Hebrew,Organized,3.8,2 - 3 month
1577497,Immanuel Hirendra Kumar Vyas,10,Bachelor ,25-32,3 -  5 years,500+ AUD,892,Online,QLD, 51 %- 80 %,Chinese - Min,Organized,4.6,4- 6 month
959879,Imran Ali,16,Year 12 and below,25-32,> 5 years,101– 200 AUD,192,Inperson,VIC, 51 %- 80 %,Polish,Independent,4.5,Immediately
1798136,Inderbir Singh  Gill,8,Bachelor ,< 18,1 - 3 years,101– 200 AUD,771,Online,ACT,31%-50%,Greek,Organized,4.8,2 - 3 month
1278599,India Caroline Wilson Allender,13,Bachelor ,40-44,< 1 year,0 ~ 100 AUD,771,Inperson,VIC, 51 %- 80 %,Persian,Organized,3.5,Immediately
100705,Ines Flores,24,Doctorate,25-32,< 1 year,500+ AUD,857,Both,ACT,< 30%,Marathi,Independent,4.6,2 - 3 month
2318165,Ingrid Catherine Parry-Hayden,2,Bachelor ,25-32,3 -  5 years,0 ~ 100 AUD,309,Both,ACT, 51 %- 80 %,Chinese - Wu,Organized,2.8,1 month
853578,Ingrid Meskin,17,Doctorate,33-39,1 - 3 years,0 ~ 100 AUD,976,Online,QLD,< 30%,Thai,Organized,3.6,1 month
211752,Insik Chang,23,Diploma,33-39,< 1 year,101– 200 AUD,891,Online,NT,31%-50%,Greek,Organized,3.3,Immediately
1790376,Iovana Ludmila Bablee-Parapen,8,Year 12 and below,< 18,3 -  5 years,201 – 500 AUD,121,Inperson,TAS, 51 %- 80 %,Czech,Organized,2.9,4- 6 month
534583,Irene Tay,20,Master,25-32,3 -  5 years,0 ~ 100 AUD,675,Inperson,QLD,>81%,Afrikaans,Independent,3.9,2 - 3 month
9682508,Irene Merryl Dawson,29,Year 12 and below,18-24,1 - 3 years,201 – 500 AUD,050,Both,NT,>81%,Vietnamese,Independent,3.7,2 - 3 month
1467990,Irene Gunawan,11,Bachelor ,40-44,> 5 years,500+ AUD,121,Both,NSW,< 30%,Nepali,Independent,3.0,Immediately
1573562,Irene Martinez Santos,10,Doctorate,33-39,1 - 3 years,101– 200 AUD,121,Online,NT,>81%,Urdu,Organized,3.8,4- 6 month
1682153,Ireneo Martin,9,Diploma,33-39,1 - 3 years,500+ AUD,030,Inperson,VIC,>81%,Romanian,Independent,3.1,1 month
102034,Ireneusz Jozef Lasocki,24,Master,40-44,> 5 years,101– 200 AUD,406,Inperson,TAS,31%-50%,Chinese - Wu,Independent,2.9,4- 6 month
801516,Iresha Piushani Hendavitharana,17,Doctorate,45+,1 - 3 years,0 ~ 100 AUD,051,Inperson,VIC,>81%,Pidgin,Organized,4.6,Immediately
1569328,Irina Brodskaya,10,Master,33-39,> 5 years,101– 200 AUD,309,Online,NSW,< 30%,Chinese - Cantonese,Independent,4.8,4- 6 month
2117607,Iris Bernardini Mizumoto,4,Doctorate,33-39,> 5 years,101– 200 AUD,570,Inperson,NSW,>81%,Burmese,Organized,2.7,4- 6 month
636411,Iris Sabine Indorato,19,Diploma,25-32,> 5 years,500+ AUD,576,Online,WA,>81%,Bengali,Independent,4.7,Immediately
1804246,Isaac Kwamina Eshun Annan,7,Diploma,18-24,< 1 year,201 – 500 AUD,051,Both,SA, 51 %- 80 %,German,Organized,4.7,1 month
2318030,Isaac Joel Magpoc Cabana,2,Doctorate,45+,3 -  5 years,500+ AUD,151,Both,QLD,< 30%,Russian,Independent,2.6,4- 6 month
1806924,Isabella Yanjun Zhang,7,Master,18-24,1 - 3 years,500+ AUD,488,Online,SA, 51 %- 80 %,Amharic,Organized,5.0,1 month
1387015,Isabelle Gonzalez,12,Year 12 and below,25-32,> 5 years,201 – 500 AUD,203,Online,NT,>81%,Amharic,Independent,3.5,4- 6 month
1793819,Isaiah Uchechukwu  Okorie,8,Year 12 and below,18-24,1 - 3 years,101– 200 AUD,836,Online,NSW,< 30%,Farsi,Independent,3.0,2 - 3 month
1791244,Isaura Goncalves De Andrade,8,Bachelor ,45+,3 -  5 years,201 – 500 AUD,428,Inperson,NT,< 30%,Malayalam,Independent,3.2,Immediately
1805498,Isha Parmar,7,Diploma,25-32,3 -  5 years,0 ~ 100 AUD,175,Online,NT,>81%,Turkish,Organized,2.7,4- 6 month
2318027,Ishar Singh,2,Master,25-32,1 - 3 years,0 ~ 100 AUD,407,Online,SA,< 30%,Norwegian,Organized,2.9,Immediately
2217797,Ishwor Chandra Kuinkel,3,Doctorate,25-32,< 1 year,201 – 500 AUD,403,Both,QLD,31%-50%,Magyar,Independent,3.7,1 month
318589,Ivan Seng Whatt Hoe,22,Year 12 and below,25-32,3 -  5 years,0 ~ 100 AUD,175,Online,TAS,31%-50%,Tamil,Organized,3.6,1 month
9253612,Ivan Mark Chait,33,Year 12 and below,25-32,< 1 year,500+ AUD,408,Online,WA, 51 %- 80 %,Turkish,Independent,4.1,Immediately
9473750,Ivan Rados,31,Year 12 and below,18-24,1 - 3 years,500+ AUD,191,Both,ACT,< 30%,Tamil,Organized,2.8,Immediately
1680317,Ivan Mun-Hong Lee,9,Year 12 and below,25-32,1 - 3 years,0 ~ 100 AUD,885,Inperson,TAS,31%-50%,Hebrew,Organized,2.9,1 month
1174274,Ivana Djoneski,14,Master,25-32,< 1 year,101– 200 AUD,572,Online,ACT,31%-50%,Cambodian,Organized,3.0,1 month
1066462,Ivanna Cheng,15,Master,18-24,3 -  5 years,201 – 500 AUD,445,Inperson,NT,31%-50%,Burmese,Organized,4.1,1 month
1067885,Ivy Kim Neo Tan,15,Doctorate,33-39,< 1 year,0 ~ 100 AUD,601,Online,SA,31%-50%,Sinhalese,Organized,2.9,Immediately
1688639,I-Yarin McArdle,9,Doctorate,25-32,> 5 years,101– 200 AUD,200,Both,QLD,31%-50%,Indonesian,Independent,4.5,4- 6 month
848202,Iyathurai Rahuraj,17,Master,25-32,1 - 3 years,101– 200 AUD,801,Online,NSW, 51 %- 80 %,Polish,Organized,3.8,2 - 3 month
1574841,Iyke Victor Fredericks-Ifeajika,10,Bachelor ,18-24,1 - 3 years,0 ~ 100 AUD,870,Inperson,QLD,>81%,Kiswahili,Independent,3.3,2 - 3 month
9902581,Jacinta Louise Tangey,26,Master,40-44,< 1 year,0 ~ 100 AUD,114,Both,VIC, 51 %- 80 %,Farsi,Organized,3.2,1 month
1069145,Jack Wen-Yueh Huang,15,Bachelor ,25-32,3 -  5 years,101– 200 AUD,457,Both,ACT, 51 %- 80 %,Tagalog,Organized,3.3,4- 6 month
1383604,Jack Ding,12,Doctorate,18-24,< 1 year,0 ~ 100 AUD,444,Online,NT,< 30%,Croatian,Organized,3.4,Immediately
1573055,Jack Beresford Playfair  Sheerin,10,Master,18-24,< 1 year,0 ~ 100 AUD,685,Inperson,WA, 51 %- 80 %,German,Organized,3.1,4- 6 month
401336,Jackie Jae Hee Lyon,21,Doctorate,25-32,3 -  5 years,0 ~ 100 AUD,602,Inperson,ACT, 51 %- 80 %,Korean,Organized,2.9,Immediately
1387084,Jackson Jing Shin Wong,12,Doctorate,33-39,3 -  5 years,201 – 500 AUD,837,Online,TAS, 51 %- 80 %,Turkish,Independent,3.8,4- 6 month
1687689,Jacky Pui Lam Au,9,Master,25-32,> 5 years,101– 200 AUD,417,Online,ACT, 51 %- 80 %,Sinhalese,Organized,2.7,1 month
959622,Jacob Patrick Bertram Wyllie,16,Bachelor ,18-24,3 -  5 years,500+ AUD,988,Inperson,ACT,>81%,Chinese - Min,Organized,4.9,2 - 3 month
1800640,Jacob  Reagan,7,Diploma,25-32,> 5 years,201 – 500 AUD,187,Both,TAS,< 30%,Swedish,Independent,3.5,Immediately
301504,Jacqueline Marie Ure,22,Doctorate,33-39,> 5 years,0 ~ 100 AUD,570,Inperson,NSW,>81%,Fijian,Independent,3.9,4- 6 month
9903000,Jacqueline Hill,26,Diploma,18-24,1 - 3 years,201 – 500 AUD,489,Online,NT,31%-50%,Ilokano,Organized,3.0,2 - 3 month
1463178,Jacqueline Maree Winnell,11,Diploma,25-32,3 -  5 years,201 – 500 AUD,120,Inperson,TAS,< 30%,Spanish,Organized,5.0,2 - 3 month
5125,Jacqui My Hui Yang,25,Year 12 and below,45+,> 5 years,201 – 500 AUD,482,Online,NSW,31%-50%,Chinese - Fukienese,Independent,3.8,4- 6 month
324545,Jae Young Yun,22,Year 12 and below,18-24,> 5 years,201 – 500 AUD,444,Both,NT,< 30%,Croatian,Organized,5.0,4- 6 month
962070,Jae Gyu Lee,16,Bachelor ,45+,3 -  5 years,0 ~ 100 AUD,191,Both,ACT,31%-50%,Ukrainian,Organized,2.9,Immediately
9905346,Jae Joon Hwang,26,Year 12 and below,25-32,< 1 year,101– 200 AUD,117,Online,QLD,< 30%,Chinese - Wu,Organized,3.7,4- 6 month
637207,Jae Hyoung Jeon,19,Diploma,18-24,1 - 3 years,0 ~ 100 AUD,120,Both,NT,>81%,Khmer,Independent,4.0,2 - 3 month
1789702,Jaegee Choi,8,Master,25-32,1 - 3 years,201 – 500 AUD,771,Both,SA,< 30%,Norwegian,Organized,3.8,Immediately
9900334,Jaewoo Phillip Oh,26,Bachelor ,33-39,1 - 3 years,500+ AUD,891,Inperson,WA,31%-50%,Ukrainian,Independent,3.6,2 - 3 month
1795984,Jagat Sharma,8,Master,25-32,3 -  5 years,500+ AUD,942,Online,WA,31%-50%,Czech,Organized,2.9,4- 6 month
2217804,Jagdeep Singh,3,Bachelor ,25-32,3 -  5 years,101– 200 AUD,988,Inperson,TAS, 51 %- 80 %,Serbian,Organized,3.1,Immediately
1686951,Jagdeep Kaur,9,Master,45+,3 -  5 years,500+ AUD,573,Online,SA, 51 %- 80 %,Chinese - Min,Independent,3.7,2 - 3 month
854124,Jagdish Prakash,17,Diploma,25-32,< 1 year,0 ~ 100 AUD,601,Inperson,NT,< 30%,Malayalam,Independent,4.4,Immediately
2318078,Jagjeevan Singh Saini,2,Bachelor ,33-39,< 1 year,0 ~ 100 AUD,651,Both,WA,< 30%,Ukrainian,Independent,3.7,Immediately
2217807,Jagjit Singh Cheema,3,Doctorate,18-24,3 -  5 years,500+ AUD,462,Both,ACT, 51 %- 80 %,Romanian,Independent,3.6,2 - 3 month
2318039,Jagroop Singh Gill,2,Year 12 and below,33-39,1 - 3 years,0 ~ 100 AUD,420,Both,WA,31%-50%,Hebrew,Independent,3.1,4- 6 month
1801823,Jagvir Singh Gill,7,Year 12 and below,33-39,3 -  5 years,101– 200 AUD,857,Inperson,ACT, 51 %- 80 %,Punjabi,Organized,4.2,2 - 3 month
1687576,Jahangir Alam,9,Diploma,25-32,< 1 year,101– 200 AUD,494,Both,NSW,< 30%,Swedish,Independent,3.8,1 month
850939,Jai Ganeshan Kandavadivelan,17,Diploma,33-39,< 1 year,201 – 500 AUD,204,Online,WA, 51 %- 80 %,Tagalog,Independent,3.2,4- 6 month
2318155,Jaime Rae Bucciarelli,2,Doctorate,< 18,1 - 3 years,201 – 500 AUD,573,Inperson,QLD,< 30%,Malayalam,Independent,3.5,Immediately
1575637,Jaiminkumar Sarvagnasinh Darbar,10,Master,18-24,< 1 year,101– 200 AUD,190,Both,TAS, 51 %- 80 %,Ilokano,Independent,4.9,2 - 3 month
2117709,Jair Fernando Carrascal Castro,4,Bachelor ,33-39,1 - 3 years,101– 200 AUD,864,Inperson,QLD,>81%,Laotian,Organized,4.6,1 month
1807265,Jamal Abdel Halim Shaker Daoud,7,Master,25-32,> 5 years,101– 200 AUD,155,Online,VIC,< 30%,Syriac,Organized,3.7,4- 6 month
1797131,James Warby-Kim,8,Master,25-32,> 5 years,201 – 500 AUD,575,Both,VIC,>81%,Gujarati,Independent,4.8,1 month
1802993,James Menzies,7,Master,25-32,> 5 years,0 ~ 100 AUD,406,Inperson,VIC,>81%,Greek,Independent,4.5,1 month
1804486,James Robert Palmer,7,Master,45+,1 - 3 years,0 ~ 100 AUD,204,Inperson,WA,< 30%,Romanian,Independent,4.0,Immediately
1808688,James Hamilton,7,Year 12 and below,45+,1 - 3 years,0 ~ 100 AUD,187,Both,WA,31%-50%,Nepali,Organized,3.5,Immediately
2217876,James Chang,3,Master,18-24,1 - 3 years,500+ AUD,157,Online,ACT,>81%,Chinese - Mandarin,Organized,2.8,2 - 3 month
2318131,James William McNess,2,Bachelor ,40-44,< 1 year,500+ AUD,870,Inperson,VIC,31%-50%,Kurdish,Organized,3.9,Immediately
5207,James Derek MacAnally,25,Doctorate,40-44,< 1 year,101– 200 AUD,132,Online,VIC,>81%,Croatian,Organized,2.7,2 - 3 month
318130,James Zhong,22,Year 12 and below,18-24,3 -  5 years,500+ AUD,426,Both,TAS, 51 %- 80 %,Ilokano,Independent,2.6,4- 6 month
428740,James Alan Hall,21,Master,25-32,< 1 year,0 ~ 100 AUD,942,Both,SA, 51 %- 80 %,German,Organized,4.3,2 - 3 month
1276102,James William Clarke,13,Diploma,25-32,> 5 years,201 – 500 AUD,942,Online,QLD,< 30%,Hungarian,Independent,4.9,Immediately
1382116,James Anthony Brown,12,Diploma,33-39,1 - 3 years,101– 200 AUD,835,Online,SA,31%-50%,Marathi,Organized,3.4,Immediately
9473983,James Kyu Sang Hwang,31,Master,25-32,3 -  5 years,0 ~ 100 AUD,891,Online,TAS,< 30%,Serbian,Independent,4.3,2 - 3 month
9686457,James Kee Soon Tan,29,Master,25-32,3 -  5 years,0 ~ 100 AUD,176,Online,NT,>81%,Sinhalese,Organized,4.8,2 - 3 month
1575702,James David Hislop,10,Bachelor ,25-32,1 - 3 years,201 – 500 AUD,192,Inperson,TAS, 51 %- 80 %,Kiswahili,Independent,2.7,2 - 3 month
1276873,James Jonathan Tobin,13,Year 12 and below,33-39,3 -  5 years,101– 200 AUD,601,Online,NT,>81%,Czech,Independent,4.6,4- 6 month
2016217,Jamie Mei Mei Chan,5,Diploma,33-39,> 5 years,500+ AUD,888,Inperson,TAS, 51 %- 80 %,Greek,Independent,2.6,4- 6 month
108123,Jamie Scott Lingham,24,Year 12 and below,25-32,< 1 year,201 – 500 AUD,836,Both,WA,< 30%,Danish,Independent,3.1,Immediately
324672,Jamil Shah,22,Bachelor ,33-39,> 5 years,0 ~ 100 AUD,186,Both,ACT,< 30%,Pidgin,Organized,2.8,Immediately
965239,Jan Karel Bejcek,16,Diploma,25-32,> 5 years,201 – 500 AUD,495,Inperson,TAS,>81%,French,Organized,3.7,Immediately
2217842,Janaka Sandaruwan Fonseka,3,Year 12 and below,45+,3 -  5 years,201 – 500 AUD,858,Online,NSW,31%-50%,Chinese - Min,Independent,4.7,Immediately
2117697,Jane Ngoc Nguyen,4,Doctorate,45+,> 5 years,0 ~ 100 AUD,576,Both,TAS,< 30%,Croatian,Organized,3.8,Immediately
317868,Jane Yi Jun Tao,22,Diploma,25-32,3 -  5 years,0 ~ 100 AUD,856,Online,QLD,31%-50%,Magyar,Organized,3.1,4- 6 month
637687,Jane Fiona Elliot,19,Master,25-32,3 -  5 years,500+ AUD,851,Online,WA, 51 %- 80 %,Cambodian,Independent,4.7,2 - 3 month
743386,Jane Magiri Njomo,18,Diploma,33-39,3 -  5 years,101– 200 AUD,851,Both,QLD,31%-50%,Afrikaans,Organized,2.7,4- 6 month
959728,Jane Elizabeth Price,16,Diploma,25-32,> 5 years,0 ~ 100 AUD,676,Inperson,ACT,>81%,Thai,Independent,3.7,Immediately
964070,Jane Margaret Thorley,16,Bachelor ,33-39,3 -  5 years,201 – 500 AUD,192,Online,VIC,>81%,Chinese - Mandarin,Independent,3.6,2 - 3 month
9581295,Jane Alison Taljaard,30,Doctorate,25-32,3 -  5 years,500+ AUD,856,Online,TAS,>81%,Chinese - Fukienese,Independent,4.6,1 month
9791562,Jane Margaret Wilson,28,Diploma,25-32,> 5 years,500+ AUD,494,Online,VIC,>81%,Kiswahili,Independent,3.5,Immediately
1789517,Jane Wangari Kambura,8,Doctorate,25-32,< 1 year,101– 200 AUD,191,Online,NSW,>81%,Chinese - Wu,Organized,4.5,2 - 3 month
1797275,Janet Ng Pownall,8,Master,40-44,1 - 3 years,201 – 500 AUD,410,Both,VIC, 51 %- 80 %,Nepali,Organized,3.4,Immediately
9901000,Janet Anne Freese,26,Year 12 and below,18-24,3 -  5 years,201 – 500 AUD,160,Online,NSW,< 30%,Nepali,Organized,2.7,1 month
1790814,Janet Louise Palmer,8,Doctorate,33-39,1 - 3 years,201 – 500 AUD,601,Both,VIC,< 30%,Vietnamese,Independent,4.3,1 month
100596,Janette Friar,24,Doctorate,< 18,< 1 year,500+ AUD,488,Online,NSW, 51 %- 80 %,Bosnian,Independent,3.1,4- 6 month
1569102,Janice  Susan Gothard,10,Year 12 and below,33-39,> 5 years,201 – 500 AUD,051,Online,SA, 51 %- 80 %,Amharic,Independent,2.5,2 - 3 month
532329,Jannaha Catherine Schillaci,20,Doctorate,25-32,3 -  5 years,500+ AUD,808,Both,VIC,< 30%,English,Organized,4.0,4- 6 month
1277981,Jaroslaw Jan Rudnik,13,Bachelor ,33-39,< 1 year,101– 200 AUD,942,Inperson,WA,>81%,Pidgin,Organized,4.0,4- 6 month
2117655,Jaruwan Sumirattana,4,Year 12 and below,40-44,3 -  5 years,0 ~ 100 AUD,576,Both,NT,>81%,Greek,Independent,3.3,2 - 3 month
956292,Jasbir Singh Rattan,16,Diploma,25-32,3 -  5 years,201 – 500 AUD,888,Both,SA,31%-50%,Vietnamese,Organized,3.8,Immediately
2318115,Jasdeep Kaur Brar,2,Year 12 and below,25-32,> 5 years,201 – 500 AUD,204,Both,NT,< 30%,Macedonian,Independent,4.0,Immediately
1800400,Jasmine  Sallis,7,Master,18-24,3 -  5 years,201 – 500 AUD,870,Online,ACT, 51 %- 80 %,Urdu,Independent,5.0,1 month
530538,Jasmine Yi-Chi Fan,20,Year 12 and below,33-39,> 5 years,0 ~ 100 AUD,143,Online,ACT,>81%,Malayalam,Organized,4.0,2 - 3 month
1808222,jasminkumar dipaklal Dipaklal shah,7,Year 12 and below,25-32,1 - 3 years,101– 200 AUD,858,Both,WA,31%-50%,Albanian,Organized,2.8,2 - 3 month
1805429,Jason Junsheng Zhang,7,Diploma,25-32,1 - 3 years,101– 200 AUD,190,Online,SA,>81%,Kiswahili,Independent,4.5,1 month
2116974,Jason Zaikos,4,Year 12 and below,45+,1 - 3 years,500+ AUD,051,Online,QLD, 51 %- 80 %,Russian,Independent,4.7,4- 6 month
701842,Jason Luke Saggers,18,Master,40-44,3 -  5 years,500+ AUD,600,Online,NSW, 51 %- 80 %,Fijian,Independent,4.2,4- 6 month
954987,Jason Paul Ross,16,Master,25-32,1 - 3 years,0 ~ 100 AUD,602,Inperson,WA,31%-50%,Portuguese,Organized,4.1,1 month
1575651,Jason Racic,10,Master,18-24,> 5 years,201 – 500 AUD,188,Online,WA, 51 %- 80 %,Hungarian,Organized,2.9,Immediately
1576529,Jason Jude Browne,10,Doctorate,25-32,1 - 3 years,201 – 500 AUD,888,Online,NSW,>81%,Bahasa - Malaysian,Independent,3.4,2 - 3 month
1687709,Jason Richard Parker,9,Doctorate,25-32,3 -  5 years,0 ~ 100 AUD,420,Inperson,NSW, 51 %- 80 %,Korean,Organized,3.1,1 month
426428,Jason Fook Ngian Wong,21,Bachelor ,25-32,< 1 year,500+ AUD,030,Inperson,SA,31%-50%,Chinese - Fukienese,Independent,3.5,Immediately
2217966,Jaspal Singh,3,Year 12 and below,18-24,< 1 year,101– 200 AUD,202,Both,NSW,< 30%,Hebrew,Independent,4.7,2 - 3 month
851410,Jaspal Singh Sandhu,17,Year 12 and below,25-32,< 1 year,101– 200 AUD,428,Both,NT,31%-50%,Czech,Independent,4.9,1 month
1700027,Jasraj Dhatt,8,Diploma,25-32,3 -  5 years,201 – 500 AUD,406,Inperson,NSW,< 30%,Czech,Independent,3.0,Immediately
1804897,Jatinder Choudhary,7,Diploma,45+,1 - 3 years,0 ~ 100 AUD,495,Inperson,NSW,31%-50%,Afrikaans,Organized,4.5,4- 6 month
1700394,Jay Prafulkumar Patel,8,Doctorate,25-32,1 - 3 years,101– 200 AUD,851,Both,NSW,>81%,Japanese,Organized,3.5,Immediately
2318076,Jayamini Samindika De Silva,2,Master,25-32,3 -  5 years,201 – 500 AUD,309,Online,NSW, 51 %- 80 %,Chinese - Wu,Organized,3.2,2 - 3 month
957482,Jayapal Reddy Vadlakonda,16,Year 12 and below,25-32,1 - 3 years,101– 200 AUD,476,Online,QLD,31%-50%,Swedish,Independent,4.3,2 - 3 month
2497,Jayaprakash Hosur,25,Master,18-24,< 1 year,0 ~ 100 AUD,189,Online,TAS,31%-50%,Nepali,Organized,3.1,Immediately
636702,Jayme Louise Hallam,19,Diploma,45+,> 5 years,500+ AUD,423,Both,VIC,31%-50%,Vietnamese,Organized,4.3,4- 6 month
428322,Jean Jing Zhang,21,Doctorate,25-32,3 -  5 years,0 ~ 100 AUD,820,Inperson,VIC,>81%,Magyar,Organized,4.2,4- 6 month
1279734,Jeanely Balaba,13,Bachelor ,25-32,3 -  5 years,500+ AUD,890,Online,SA, 51 %- 80 %,Ukrainian,Organized,4.4,2 - 3 month
959797,Jeffrey Peter Harvie,16,Year 12 and below,18-24,< 1 year,500+ AUD,496,Online,ACT, 51 %- 80 %,Khmer,Organized,4.9,2 - 3 month
1568405,Jeffrey John Sewell,10,Doctorate,18-24,> 5 years,500+ AUD,845,Inperson,ACT,>81%,Hebrew,Organized,2.9,Immediately
1802664,Jelena Vidic,7,Doctorate,33-39,1 - 3 years,0 ~ 100 AUD,808,Inperson,VIC,31%-50%,Indonesian,Organized,2.5,4- 6 month
1806486,Jelena Kis,7,Bachelor ,18-24,< 1 year,500+ AUD,495,Both,VIC,>81%,Czech,Independent,5.0,4- 6 month
1789891,Jelena Stevanovic,8,Master,25-32,< 1 year,201 – 500 AUD,427,Both,TAS, 51 %- 80 %,Danish,Independent,3.5,2 - 3 month
1066013,Jemma Carrie King,15,Bachelor ,25-32,3 -  5 years,0 ~ 100 AUD,427,Both,QLD,>81%,Chinese - Cantonese,Independent,3.0,Immediately
1679387,Jenelle Lois Barraclough,9,Year 12 and below,18-24,> 5 years,0 ~ 100 AUD,462,Both,QLD,>81%,Dutch,Independent,4.1,1 month
105320,Jennifer Doreen Ryan,24,Year 12 and below,33-39,1 - 3 years,0 ~ 100 AUD,602,Both,ACT,31%-50%,Chinese - Fukienese,Organized,3.1,4- 6 month
316914,Jennifer Li-Chien Liu,22,Doctorate,25-32,> 5 years,101– 200 AUD,411,Online,QLD,>81%,Syriac,Independent,4.4,4- 6 month
324343,Jennifer Wai Ngan Kwok,22,Doctorate,33-39,< 1 year,0 ~ 100 AUD,475,Online,NSW, 51 %- 80 %,Croatian,Independent,3.1,Immediately
635889,Jennifer Mary Tode,19,Diploma,33-39,3 -  5 years,201 – 500 AUD,494,Online,SA,31%-50%,Romanian,Independent,2.9,4- 6 month
955711,Jennifer Fong,16,Bachelor ,25-32,< 1 year,500+ AUD,114,Both,TAS,>81%,Bengali,Independent,3.4,Immediately
1275981,Jennifer Jinju Victoria Shin,13,Doctorate,40-44,3 -  5 years,201 – 500 AUD,487,Online,WA,>81%,Indonesian,Independent,3.6,1 month
1386623,Jennifer Yachen Yuan,12,Diploma,33-39,< 1 year,0 ~ 100 AUD,856,Online,TAS,>81%,Vietnamese,Independent,2.5,2 - 3 month
9902245,Jennifer Huiying Bao,26,Bachelor ,25-32,< 1 year,500+ AUD,845,Online,TAS, 51 %- 80 %,Chinese,Organized,4.6,2 - 3 month
1684622,Jennifer Louisa Wood,9,Master,25-32,< 1 year,201 – 500 AUD,845,Inperson,VIC,31%-50%,Fijian,Organized,4.0,2 - 3 month
214733,Jenny Siv Phan Tew,23,Master,33-39,3 -  5 years,201 – 500 AUD,580,Inperson,NT, 51 %- 80 %,Portuguese,Organized,3.1,1 month
429372,Jenny Satya Graha,21,Master,33-39,< 1 year,101– 200 AUD,030,Both,NSW,>81%,Chinese - Hokkien,Organized,3.5,Immediately
852535,Jenny Anne Murphy,17,Doctorate,18-24,< 1 year,101– 200 AUD,884,Inperson,SA,>81%,Cambodian,Independent,3.7,2 - 3 month
1173584,Jenny Subandi,14,Master,25-32,3 -  5 years,0 ~ 100 AUD,143,Both,ACT,< 30%,Serbian,Organized,3.2,Immediately
963568,Jeong Ja Han,16,Diploma,18-24,1 - 3 years,201 – 500 AUD,851,Both,VIC,< 30%,Syriac,Organized,2.9,4- 6 month
1386798,Jeremy Clifford Harmon,12,Diploma,40-44,< 1 year,201 – 500 AUD,421,Online,TAS,< 30%,Laotian,Organized,2.8,2 - 3 month
214675,Jeri Lynn Levinsky,23,Diploma,45+,3 -  5 years,201 – 500 AUD,575,Inperson,NT,>81%,Kiswahili,Organized,4.1,Immediately
1687069,Jessi Alice Galbraith,9,Doctorate,25-32,1 - 3 years,101– 200 AUD,119,Inperson,SA,31%-50%,French,Organized,3.0,1 month
1911697,Jessica Roxanne Geyser,6,Diploma,33-39,3 -  5 years,201 – 500 AUD,300,Online,NSW,>81%,Korean,Organized,4.4,1 month
2117701,Jessica Pui Kwun Yuen,4,Master,25-32,1 - 3 years,101– 200 AUD,602,Both,SA,31%-50%,Norwegian,Organized,3.6,2 - 3 month
531831,Jessica Christina Haryanto,20,Bachelor ,40-44,1 - 3 years,500+ AUD,202,Online,SA,< 30%,Swedish,Independent,5.0,2 - 3 month
2318084,Jessie Emily Zhouand,2,Master,18-24,3 -  5 years,0 ~ 100 AUD,157,Inperson,ACT,< 30%,Russian,Organized,4.9,Immediately
1067018,Jesus Andres Osorio Lopez,15,Year 12 and below,18-24,< 1 year,500+ AUD,820,Online,QLD,>81%,Gujarati,Organized,3.4,2 - 3 month
602060,Ji Young Han,19,Master,18-24,1 - 3 years,101– 200 AUD,428,Both,NT,>81%,Tagalog,Independent,3.8,2 - 3 month
2016899,Jia Jin,5,Year 12 and below,33-39,3 -  5 years,101– 200 AUD,186,Inperson,VIC, 51 %- 80 %,Danish,Organized,3.0,4- 6 month
1281365,Jia Ye,13,Bachelor ,33-39,< 1 year,0 ~ 100 AUD,200,Inperson,NT,>81%,Russian,Independent,4.0,Immediately
1680191,Jia Wang,9,Diploma,45+,< 1 year,0 ~ 100 AUD,685,Inperson,NT,>81%,Persian,Organized,4.5,1 month
1792369,Jia He,8,Bachelor ,33-39,3 -  5 years,201 – 500 AUD,100,Both,SA,< 30%,Gujarati,Organized,4.9,2 - 3 month
1685538,Jia Yi Wang,9,Bachelor ,25-32,1 - 3 years,101– 200 AUD,570,Inperson,NT,< 30%,Hindi,Organized,3.5,Immediately
1792787,Jiachen Xu,8,Bachelor ,33-39,1 - 3 years,101– 200 AUD,191,Online,NSW,31%-50%,Fijian,Organized,4.1,2 - 3 month
